sequence_name,path,metadata_path,pulse_loss_rate,noise_ratio,known_tags,class_tags
train_000,train\sequences\train_000.csv,train\sequences\train_000.json,0.4959105930423128,0.43460904293427,"1,4,5","1,4,5"
train_001,train\sequences\train_001.csv,train\sequences\train_001.json,0.1318913415154021,0.3456517785715938,"1,4,5","1,4,5"
train_002,train\sequences\train_002.csv,train\sequences\train_002.json,0.24520070515304,0.23489506789635523,"1,4,5","1,4,5"
train_003,train\sequences\train_003.csv,train\sequences\train_003.json,0.13570827074163005,0.16818080907112593,"1,4,5","1,4,5"
train_004,train\sequences\train_004.csv,train\sequences\train_004.json,0.11776026371626108,0.03209450541084463,"1,4,5","1,4,5"
train_005,train\sequences\train_005.csv,train\sequences\train_005.json,0.008524498435189709,0.33670152655483054,"1,4,5","1,4,5"
train_006,train\sequences\train_006.csv,train\sequences\train_006.json,0.35449541161081166,0.289906991442294,"1,4,5","1,4,5"
train_007,train\sequences\train_007.csv,train\sequences\train_007.json,0.000641233506365857,0.498551577423356,"1,4,5","1,4,5"
train_008,train\sequences\train_008.csv,train\sequences\train_008.json,0.4603398569291443,0.045941237209588814,"1,4,5","1,4,5"
train_009,train\sequences\train_009.csv,train\sequences\train_009.json,0.14753944205347058,0.010323155024178299,"1,4,5","1,4,5"
train_010,train\sequences\train_010.csv,train\sequences\train_010.json,0.042272321298855664,0.4473103501488394,"1,4,5","1,4,5"
train_011,train\sequences\train_011.csv,train\sequences\train_011.json,0.23850503634368225,0.35458673710568545,"1,4,5","1,4,5"
train_012,train\sequences\train_012.csv,train\sequences\train_012.json,0.112778997774037,0.08639695764325922,"1,4,5","1,4,5"
train_013,train\sequences\train_013.csv,train\sequences\train_013.json,0.04996379822016228,0.24634324734517132,"1,4,5","1,4,5"
train_014,train\sequences\train_014.csv,train\sequences\train_014.json,0.274915414596195,0.2945624215091139,"1,4,5","1,4,5"
train_015,train\sequences\train_015.csv,train\sequences\train_015.json,0.24352091729273817,0.3211061258343699,"1,4,5","1,4,5"
train_016,train\sequences\train_016.csv,train\sequences\train_016.json,0.288168253696126,0.21568791160724077,"1,4,5","1,4,5"
train_017,train\sequences\train_017.csv,train\sequences\train_017.json,0.29719917453770195,0.38010278209000153,"1,4,5","1,4,5"
train_018,train\sequences\train_018.csv,train\sequences\train_018.json,0.3412081716665074,0.15089319964383402,"1,4,5","1,4,5"
train_019,train\sequences\train_019.csv,train\sequences\train_019.json,0.4265944140843422,0.21443116713777516,"1,4,5","1,4,5"
train_020,train\sequences\train_020.csv,train\sequences\train_020.json,0.40493914913949863,0.3955824226197407,"1,4,5","1,4,5"
train_021,train\sequences\train_021.csv,train\sequences\train_021.json,0.1015527438310529,0.32151135209274934,"1,4,5","1,4,5"
train_022,train\sequences\train_022.csv,train\sequences\train_022.json,0.20078668135073463,0.11538018160841507,"1,4,5","1,4,5"
train_023,train\sequences\train_023.csv,train\sequences\train_023.json,0.44808965458184646,0.40166610893755367,"1,4,5","1,4,5"
