sequence_name,path,metadata_path,pulse_loss_rate,noise_ratio,known_tags,class_tags
loss05_noise05_000,loss05_noise05\sequences\loss05_noise05_000.csv,loss05_noise05\sequences\loss05_noise05_000.json,0.5,0.5,"1,4,5","1,4,5"
loss05_noise05_001,loss05_noise05\sequences\loss05_noise05_001.csv,loss05_noise05\sequences\loss05_noise05_001.json,0.5,0.5,"1,4,5","1,4,5"
loss05_noise05_002,loss05_noise05\sequences\loss05_noise05_002.csv,loss05_noise05\sequences\loss05_noise05_002.json,0.5,0.5,"1,4,5","1,4,5"
loss05_noise05_003,loss05_noise05\sequences\loss05_noise05_003.csv,loss05_noise05\sequences\loss05_noise05_003.json,0.5,0.5,"1,4,5","1,4,5"
loss05_noise05_004,loss05_noise05\sequences\loss05_noise05_004.csv,loss05_noise05\sequences\loss05_noise05_004.json,0.5,0.5,"1,4,5","1,4,5"
loss05_noise05_005,loss05_noise05\sequences\loss05_noise05_005.csv,loss05_noise05\sequences\loss05_noise05_005.json,0.5,0.5,"1,4,5","1,4,5"
loss05_noise05_006,loss05_noise05\sequences\loss05_noise05_006.csv,loss05_noise05\sequences\loss05_noise05_006.json,0.5,0.5,"1,4,5","1,4,5"
loss05_noise05_007,loss05_noise05\sequences\loss05_noise05_007.csv,loss05_noise05\sequences\loss05_noise05_007.json,0.5,0.5,"1,4,5","1,4,5"
loss05_noise05_008,loss05_noise05\sequences\loss05_noise05_008.csv,loss05_noise05\sequences\loss05_noise05_008.json,0.5,0.5,"1,4,5","1,4,5"
loss05_noise05_009,loss05_noise05\sequences\loss05_noise05_009.csv,loss05_noise05\sequences\loss05_noise05_009.json,0.5,0.5,"1,4,5","1,4,5"
loss05_noise05_010,loss05_noise05\sequences\loss05_noise05_010.csv,loss05_noise05\sequences\loss05_noise05_010.json,0.5,0.5,"1,4,5","1,4,5"
loss05_noise05_011,loss05_noise05\sequences\loss05_noise05_011.csv,loss05_noise05\sequences\loss05_noise05_011.json,0.5,0.5,"1,4,5","1,4,5"
loss05_noise05_012,loss05_noise05\sequences\loss05_noise05_012.csv,loss05_noise05\sequences\loss05_noise05_012.json,0.5,0.5,"1,4,5","1,4,5"
loss05_noise05_013,loss05_noise05\sequences\loss05_noise05_013.csv,loss05_noise05\sequences\loss05_noise05_013.json,0.5,0.5,"1,4,5","1,4,5"
loss05_noise05_014,loss05_noise05\sequences\loss05_noise05_014.csv,loss05_noise05\sequences\loss05_noise05_014.json,0.5,0.5,"1,4,5","1,4,5"
