sequence_name,path,metadata_path,pulse_loss_rate,noise_ratio,known_tags,class_tags
train_000,train\sequences\train_000.csv,train\sequences\train_000.json,0.1576987876962075,0.298281955349692,"1,4,5,7","1,4,5,7"
train_001,train\sequences\train_001.csv,train\sequences\train_001.json,0.4917429759738696,0.4655838506663066,"1,4,5,7","1,4,5,7"
train_002,train\sequences\train_002.csv,train\sequences\train_002.json,0.3869857643095079,0.14913011097238804,"1,4,5,7","1,4,5,7"
train_003,train\sequences\train_003.csv,train\sequences\train_003.json,0.16852010986559846,0.4202581263739411,"1,4,5,7","1,4,5,7"
train_004,train\sequences\train_004.csv,train\sequences\train_004.json,0.1339878318438001,0.4677496348854068,"1,4,5,7","1,4,5,7"
train_005,train\sequences\train_005.csv,train\sequences\train_005.json,0.008251850045341014,0.49952077815813944,"1,4,5,7","1,4,5,7"
train_006,train\sequences\train_006.csv,train\sequences\train_006.json,0.22358021783847792,0.42019001397379524,"1,4,5,7","1,4,5,7"
train_007,train\sequences\train_007.csv,train\sequences\train_007.json,0.39000389480050696,0.3998191777973945,"1,4,5,7","1,4,5,7"
train_008,train\sequences\train_008.csv,train\sequences\train_008.json,0.41666623634784394,0.2809864422819541,"1,4,5,7","1,4,5,7"
train_009,train\sequences\train_009.csv,train\sequences\train_009.json,0.06487106466602083,0.05321932238317978,"1,4,5,7","1,4,5,7"
train_010,train\sequences\train_010.csv,train\sequences\train_010.json,0.18574491382226388,0.2916758645116206,"1,4,5,7","1,4,5,7"
train_011,train\sequences\train_011.csv,train\sequences\train_011.json,0.14821219083315318,0.16069661528869367,"1,4,5,7","1,4,5,7"
train_012,train\sequences\train_012.csv,train\sequences\train_012.json,0.45059797341090774,0.051170494821357715,"1,4,5,7","1,4,5,7"
train_013,train\sequences\train_013.csv,train\sequences\train_013.json,0.00045653198764689096,0.4109210492908985,"1,4,5,7","1,4,5,7"
train_014,train\sequences\train_014.csv,train\sequences\train_014.json,0.04843721261685352,0.23435275437961423,"1,4,5,7","1,4,5,7"
train_015,train\sequences\train_015.csv,train\sequences\train_015.json,0.009559487853714244,0.27643102603944814,"1,4,5,7","1,4,5,7"
train_016,train\sequences\train_016.csv,train\sequences\train_016.json,0.2376896673383037,0.02544370899944648,"1,4,5,7","1,4,5,7"
train_017,train\sequences\train_017.csv,train\sequences\train_017.json,0.478324603914455,0.4752537906095633,"1,4,5,7","1,4,5,7"
train_018,train\sequences\train_018.csv,train\sequences\train_018.json,0.12206677648875514,0.3970708731075638,"1,4,5,7","1,4,5,7"
train_019,train\sequences\train_019.csv,train\sequences\train_019.json,0.08155008133200603,0.4940760259133667,"1,4,5,7","1,4,5,7"
train_020,train\sequences\train_020.csv,train\sequences\train_020.json,0.26359188162036695,0.21626953857089343,"1,4,5,7","1,4,5,7"
train_021,train\sequences\train_021.csv,train\sequences\train_021.json,0.3150020332957686,0.35719378570998617,"1,4,5,7","1,4,5,7"
train_022,train\sequences\train_022.csv,train\sequences\train_022.json,0.20184234029532921,0.40509721312818175,"1,4,5,7","1,4,5,7"
train_023,train\sequences\train_023.csv,train\sequences\train_023.json,0.4000060073670775,0.006598555052401034,"1,4,5,7","1,4,5,7"
train_024,train\sequences\train_024.csv,train\sequences\train_024.json,0.1777779005626408,0.41146341337176273,"1,4,5,7","1,4,5,7"
train_025,train\sequences\train_025.csv,train\sequences\train_025.json,0.04927889083166409,0.09235735186981081,"1,4,5,7","1,4,5,7"
train_026,train\sequences\train_026.csv,train\sequences\train_026.json,0.3921001631877886,0.1332488772694152,"1,4,5,7","1,4,5,7"
train_027,train\sequences\train_027.csv,train\sequences\train_027.json,0.4961514075549926,0.06027050682506474,"1,4,5,7","1,4,5,7"
train_028,train\sequences\train_028.csv,train\sequences\train_028.json,0.3059632687123784,0.20361033087109104,"1,4,5,7","1,4,5,7"
train_029,train\sequences\train_029.csv,train\sequences\train_029.json,0.425059814835547,0.4099785356385134,"1,4,5,7","1,4,5,7"
train_030,train\sequences\train_030.csv,train\sequences\train_030.json,0.4013993605121665,0.43708579515221835,"1,4,5,7","1,4,5,7"
train_031,train\sequences\train_031.csv,train\sequences\train_031.json,0.44029839728640063,0.01996694366472007,"1,4,5,7","1,4,5,7"
train_032,train\sequences\train_032.csv,train\sequences\train_032.json,0.46819354389386086,0.05547519399896411,"1,4,5,7","1,4,5,7"
train_033,train\sequences\train_033.csv,train\sequences\train_033.json,0.15855177532057912,0.26212362726725374,"1,4,5,7","1,4,5,7"
train_034,train\sequences\train_034.csv,train\sequences\train_034.json,0.19750299395987786,0.26008830825537593,"1,4,5,7","1,4,5,7"
train_035,train\sequences\train_035.csv,train\sequences\train_035.json,0.1995424129585716,0.3704672804154766,"1,4,5,7","1,4,5,7"
train_036,train\sequences\train_036.csv,train\sequences\train_036.json,0.15895217217689017,0.41725878602320476,"1,4,5,7","1,4,5,7"
train_037,train\sequences\train_037.csv,train\sequences\train_037.json,0.04690448617126608,0.32152068386248756,"1,4,5,7","1,4,5,7"
train_038,train\sequences\train_038.csv,train\sequences\train_038.json,0.19573586069972237,0.10026880147328932,"1,4,5,7","1,4,5,7"
train_039,train\sequences\train_039.csv,train\sequences\train_039.json,0.3025528094066775,0.32777327817131385,"1,4,5,7","1,4,5,7"
train_040,train\sequences\train_040.csv,train\sequences\train_040.json,0.0888669596359275,0.015321507441549698,"1,4,5,7","1,4,5,7"
