sequence_name,sequence_path,pulse_index,tag,mapped_label,is_unknown,is_noise
exp5_mixed_train_002,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_002.csv,21,4,2,0,0
exp5_mixed_train_050,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_050.csv,302,4,2,0,0
exp5_mixed_train_103,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_103.csv,189,4,2,0,0
exp5_mixed_train_121,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_121.csv,71,5,3,0,0
exp5_mixed_train_084,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_084.csv,114,4,2,0,0
exp5_mixed_train_045,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_045.csv,236,5,3,0,0
exp5_mixed_train_113,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_113.csv,286,4,2,0,0
exp5_mixed_train_136,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_136.csv,363,1,1,0,0
exp5_mixed_train_148,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_148.csv,285,0,0,0,1
exp5_mixed_train_126,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_126.csv,173,5,3,0,0
exp5_mixed_train_033,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_033.csv,80,5,3,0,0
exp5_mixed_train_012,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_012.csv,130,5,3,0,0
exp5_mixed_train_082,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_082.csv,373,0,0,0,1
exp5_mixed_train_041,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_041.csv,154,4,2,0,0
exp5_mixed_train_114,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_114.csv,346,0,0,0,1
exp5_mixed_train_147,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_147.csv,338,0,0,0,1
exp5_mixed_train_039,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_039.csv,319,4,2,0,0
exp5_mixed_train_046,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_046.csv,99,5,3,0,0
exp5_mixed_train_087,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_087.csv,29,4,2,0,0
exp5_mixed_train_021,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_021.csv,256,5,3,0,0
exp5_mixed_train_144,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_144.csv,390,0,0,0,1
exp5_mixed_train_072,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_072.csv,287,0,0,0,1
exp5_mixed_train_085,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_085.csv,241,5,3,0,0
exp5_mixed_train_053,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_053.csv,374,0,0,0,1
exp5_mixed_train_098,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_098.csv,180,4,2,0,0
exp5_mixed_train_043,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_043.csv,40,5,3,0,0
exp5_mixed_train_138,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_138.csv,338,4,2,0,0
exp5_mixed_train_116,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_116.csv,235,4,2,0,0
exp5_mixed_train_148,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_148.csv,61,5,3,0,0
exp5_mixed_train_079,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_079.csv,79,5,3,0,0
exp5_mixed_train_098,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_098.csv,41,0,0,0,1
exp5_mixed_train_011,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_011.csv,394,1,1,0,0
exp5_mixed_train_044,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_044.csv,75,1,1,0,0
exp5_mixed_train_110,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_110.csv,193,4,2,0,0
exp5_mixed_train_112,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_112.csv,195,5,3,0,0
exp5_mixed_train_079,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_079.csv,368,1,1,0,0
exp5_mixed_train_078,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_078.csv,78,5,3,0,0
exp5_mixed_train_048,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_048.csv,3,5,3,0,0
exp5_mixed_train_132,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp5\mixed\train\sequences\exp5_mixed_train_132.csv,144,4,2,0,0
