sequence_name,path,metadata_path,pulse_loss_rate,noise_ratio,known_tags,class_tags
train_000,train\sequences\train_000.csv,train\sequences\train_000.json,0.040636859846639894,0.198906721346793,"1,2,3,4","1,2,3,4"
train_001,train\sequences\train_001.csv,train\sequences\train_001.json,0.2722242525543218,0.019937574462987828,"1,2,3,4","1,2,3,4"
train_002,train\sequences\train_002.csv,train\sequences\train_002.json,0.11074939390850869,0.40277499197069283,"1,2,3,4","1,2,3,4"
train_003,train\sequences\train_003.csv,train\sequences\train_003.json,0.358054751678973,0.1562483970380511,"1,2,3,4","1,2,3,4"
train_004,train\sequences\train_004.csv,train\sequences\train_004.json,0.11273378823286107,0.2565221148376846,"1,2,3,4","1,2,3,4"
train_005,train\sequences\train_005.csv,train\sequences\train_005.json,0.1619855641610976,0.4571051087091665,"1,2,3,4","1,2,3,4"
train_006,train\sequences\train_006.csv,train\sequences\train_006.json,0.30867203596073545,0.30283704174139703,"1,2,3,4","1,2,3,4"
train_007,train\sequences\train_007.csv,train\sequences\train_007.json,0.006899353542941022,0.30626977286371254,"1,2,3,4","1,2,3,4"
train_008,train\sequences\train_008.csv,train\sequences\train_008.json,0.22644284008750487,0.07386591645962537,"1,2,3,4","1,2,3,4"
train_009,train\sequences\train_009.csv,train\sequences\train_009.json,0.23043221643203937,0.32902704788699305,"1,2,3,4","1,2,3,4"
train_010,train\sequences\train_010.csv,train\sequences\train_010.json,0.37054351347791137,0.018837280389697453,"1,2,3,4","1,2,3,4"
train_011,train\sequences\train_011.csv,train\sequences\train_011.json,0.04295833074792349,0.2381208899481847,"1,2,3,4","1,2,3,4"
train_012,train\sequences\train_012.csv,train\sequences\train_012.json,0.13413057515903987,0.3543444335450309,"1,2,3,4","1,2,3,4"
train_013,train\sequences\train_013.csv,train\sequences\train_013.json,0.19343294164145863,0.08198245141012722,"1,2,3,4","1,2,3,4"
train_014,train\sequences\train_014.csv,train\sequences\train_014.json,0.39586556503753556,0.47848413882636476,"1,2,3,4","1,2,3,4"
train_015,train\sequences\train_015.csv,train\sequences\train_015.json,0.14307558826782718,0.06767307787523219,"1,2,3,4","1,2,3,4"
train_016,train\sequences\train_016.csv,train\sequences\train_016.json,0.23312652175478188,0.2223782609493215,"1,2,3,4","1,2,3,4"
train_017,train\sequences\train_017.csv,train\sequences\train_017.json,0.08077494623826448,0.07476328585628739,"1,2,3,4","1,2,3,4"
train_018,train\sequences\train_018.csv,train\sequences\train_018.json,0.49997717746547404,0.4064137315788764,"1,2,3,4","1,2,3,4"
train_019,train\sequences\train_019.csv,train\sequences\train_019.json,0.01204384822268556,0.3561330533177422,"1,2,3,4","1,2,3,4"
train_020,train\sequences\train_020.csv,train\sequences\train_020.json,0.08870721065095005,0.23083738612204957,"1,2,3,4","1,2,3,4"
train_021,train\sequences\train_021.csv,train\sequences\train_021.json,0.32672143453158986,0.16023950412205185,"1,2,3,4","1,2,3,4"
train_022,train\sequences\train_022.csv,train\sequences\train_022.json,0.28143840726703545,0.19467577705866412,"1,2,3,4","1,2,3,4"
train_023,train\sequences\train_023.csv,train\sequences\train_023.json,0.13718519654973427,0.18075399524259528,"1,2,3,4","1,2,3,4"
train_024,train\sequences\train_024.csv,train\sequences\train_024.json,0.4987558923310703,0.26253416357200504,"1,2,3,4","1,2,3,4"
train_025,train\sequences\train_025.csv,train\sequences\train_025.json,0.33702211706709917,0.35328033107162443,"1,2,3,4","1,2,3,4"
train_026,train\sequences\train_026.csv,train\sequences\train_026.json,0.12280133118876818,0.45989924834360607,"1,2,3,4","1,2,3,4"
train_027,train\sequences\train_027.csv,train\sequences\train_027.json,0.22009696689060693,0.3820555668682822,"1,2,3,4","1,2,3,4"
train_028,train\sequences\train_028.csv,train\sequences\train_028.json,0.4592957441358304,0.3440220144760914,"1,2,3,4","1,2,3,4"
train_029,train\sequences\train_029.csv,train\sequences\train_029.json,0.3741635168526524,0.3264825596297279,"1,2,3,4","1,2,3,4"
train_030,train\sequences\train_030.csv,train\sequences\train_030.json,0.008262910484315766,0.4455988749675396,"1,2,3,4","1,2,3,4"
train_031,train\sequences\train_031.csv,train\sequences\train_031.json,0.09952497650548353,0.23763115382057143,"1,2,3,4","1,2,3,4"
train_032,train\sequences\train_032.csv,train\sequences\train_032.json,0.24913855777143085,0.19540011205566865,"1,2,3,4","1,2,3,4"
