sequence_name,sequence_path,pulse_index,tag,mapped_label,is_unknown,is_noise
exp6_mixed_train_050,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp6\mixed\train\sequences\exp6_mixed_train_050.csv,98,5,3,0,0
exp6_mixed_train_079,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp6\mixed\train\sequences\exp6_mixed_train_079.csv,325,7,4,0,0
exp6_mixed_train_009,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp6\mixed\train\sequences\exp6_mixed_train_009.csv,397,0,0,0,1
exp6_mixed_train_047,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp6\mixed\train\sequences\exp6_mixed_train_047.csv,274,1,1,0,0
exp6_mixed_train_146,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp6\mixed\train\sequences\exp6_mixed_train_146.csv,324,7,4,0,0
exp6_mixed_train_002,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp6\mixed\train\sequences\exp6_mixed_train_002.csv,245,4,2,0,0
exp6_mixed_train_129,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp6\mixed\train\sequences\exp6_mixed_train_129.csv,317,7,4,0,0
exp6_mixed_train_130,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp6\mixed\train\sequences\exp6_mixed_train_130.csv,230,4,2,0,0
exp6_mixed_train_029,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp6\mixed\train\sequences\exp6_mixed_train_029.csv,340,7,4,0,0
exp6_mixed_train_102,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp6\mixed\train\sequences\exp6_mixed_train_102.csv,77,4,2,0,0
exp6_mixed_train_025,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp6\mixed\train\sequences\exp6_mixed_train_025.csv,357,0,0,0,1
exp6_mixed_train_034,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp6\mixed\train\sequences\exp6_mixed_train_034.csv,162,5,3,0,0
exp6_mixed_train_015,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp6\mixed\train\sequences\exp6_mixed_train_015.csv,186,4,2,0,0
exp6_mixed_train_105,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp6\mixed\train\sequences\exp6_mixed_train_105.csv,166,4,2,0,0
exp6_mixed_train_120,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp6\mixed\train\sequences\exp6_mixed_train_120.csv,20,4,2,0,0
exp6_mixed_train_113,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp6\mixed\train\sequences\exp6_mixed_train_113.csv,158,5,3,0,0
exp6_mixed_train_067,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp6\mixed\train\sequences\exp6_mixed_train_067.csv,293,0,0,0,1
exp6_mixed_train_144,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp6\mixed\train\sequences\exp6_mixed_train_144.csv,85,1,1,0,0
exp6_mixed_train_086,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp6\mixed\train\sequences\exp6_mixed_train_086.csv,391,0,0,0,1
exp6_mixed_train_098,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp6\mixed\train\sequences\exp6_mixed_train_098.csv,375,7,4,0,0
exp6_mixed_train_071,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp6\mixed\train\sequences\exp6_mixed_train_071.csv,185,5,3,0,0
exp6_mixed_train_043,D:\keyan\ai_research_workflow_base\13_paper_aligned_repro\datasets\pr_rpad_paper_aligned_v6\exp6\mixed\train\sequences\exp6_mixed_train_043.csv,352,0,0,0,1
