sequence_name,path,metadata_path,pulse_loss_rate,noise_ratio,known_tags,class_tags
loss0_noise02_000,loss0_noise02\sequences\loss0_noise02_000.csv,loss0_noise02\sequences\loss0_noise02_000.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_001,loss0_noise02\sequences\loss0_noise02_001.csv,loss0_noise02\sequences\loss0_noise02_001.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_002,loss0_noise02\sequences\loss0_noise02_002.csv,loss0_noise02\sequences\loss0_noise02_002.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_003,loss0_noise02\sequences\loss0_noise02_003.csv,loss0_noise02\sequences\loss0_noise02_003.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_004,loss0_noise02\sequences\loss0_noise02_004.csv,loss0_noise02\sequences\loss0_noise02_004.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_005,loss0_noise02\sequences\loss0_noise02_005.csv,loss0_noise02\sequences\loss0_noise02_005.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_006,loss0_noise02\sequences\loss0_noise02_006.csv,loss0_noise02\sequences\loss0_noise02_006.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_007,loss0_noise02\sequences\loss0_noise02_007.csv,loss0_noise02\sequences\loss0_noise02_007.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_008,loss0_noise02\sequences\loss0_noise02_008.csv,loss0_noise02\sequences\loss0_noise02_008.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_009,loss0_noise02\sequences\loss0_noise02_009.csv,loss0_noise02\sequences\loss0_noise02_009.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_010,loss0_noise02\sequences\loss0_noise02_010.csv,loss0_noise02\sequences\loss0_noise02_010.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_011,loss0_noise02\sequences\loss0_noise02_011.csv,loss0_noise02\sequences\loss0_noise02_011.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_012,loss0_noise02\sequences\loss0_noise02_012.csv,loss0_noise02\sequences\loss0_noise02_012.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_013,loss0_noise02\sequences\loss0_noise02_013.csv,loss0_noise02\sequences\loss0_noise02_013.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_014,loss0_noise02\sequences\loss0_noise02_014.csv,loss0_noise02\sequences\loss0_noise02_014.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_015,loss0_noise02\sequences\loss0_noise02_015.csv,loss0_noise02\sequences\loss0_noise02_015.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_016,loss0_noise02\sequences\loss0_noise02_016.csv,loss0_noise02\sequences\loss0_noise02_016.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_017,loss0_noise02\sequences\loss0_noise02_017.csv,loss0_noise02\sequences\loss0_noise02_017.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_018,loss0_noise02\sequences\loss0_noise02_018.csv,loss0_noise02\sequences\loss0_noise02_018.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_019,loss0_noise02\sequences\loss0_noise02_019.csv,loss0_noise02\sequences\loss0_noise02_019.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_020,loss0_noise02\sequences\loss0_noise02_020.csv,loss0_noise02\sequences\loss0_noise02_020.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_021,loss0_noise02\sequences\loss0_noise02_021.csv,loss0_noise02\sequences\loss0_noise02_021.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_022,loss0_noise02\sequences\loss0_noise02_022.csv,loss0_noise02\sequences\loss0_noise02_022.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_023,loss0_noise02\sequences\loss0_noise02_023.csv,loss0_noise02\sequences\loss0_noise02_023.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_024,loss0_noise02\sequences\loss0_noise02_024.csv,loss0_noise02\sequences\loss0_noise02_024.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_025,loss0_noise02\sequences\loss0_noise02_025.csv,loss0_noise02\sequences\loss0_noise02_025.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_026,loss0_noise02\sequences\loss0_noise02_026.csv,loss0_noise02\sequences\loss0_noise02_026.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_027,loss0_noise02\sequences\loss0_noise02_027.csv,loss0_noise02\sequences\loss0_noise02_027.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_028,loss0_noise02\sequences\loss0_noise02_028.csv,loss0_noise02\sequences\loss0_noise02_028.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_029,loss0_noise02\sequences\loss0_noise02_029.csv,loss0_noise02\sequences\loss0_noise02_029.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_030,loss0_noise02\sequences\loss0_noise02_030.csv,loss0_noise02\sequences\loss0_noise02_030.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_031,loss0_noise02\sequences\loss0_noise02_031.csv,loss0_noise02\sequences\loss0_noise02_031.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_032,loss0_noise02\sequences\loss0_noise02_032.csv,loss0_noise02\sequences\loss0_noise02_032.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_033,loss0_noise02\sequences\loss0_noise02_033.csv,loss0_noise02\sequences\loss0_noise02_033.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_034,loss0_noise02\sequences\loss0_noise02_034.csv,loss0_noise02\sequences\loss0_noise02_034.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_035,loss0_noise02\sequences\loss0_noise02_035.csv,loss0_noise02\sequences\loss0_noise02_035.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_036,loss0_noise02\sequences\loss0_noise02_036.csv,loss0_noise02\sequences\loss0_noise02_036.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_037,loss0_noise02\sequences\loss0_noise02_037.csv,loss0_noise02\sequences\loss0_noise02_037.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_038,loss0_noise02\sequences\loss0_noise02_038.csv,loss0_noise02\sequences\loss0_noise02_038.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_039,loss0_noise02\sequences\loss0_noise02_039.csv,loss0_noise02\sequences\loss0_noise02_039.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_040,loss0_noise02\sequences\loss0_noise02_040.csv,loss0_noise02\sequences\loss0_noise02_040.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_041,loss0_noise02\sequences\loss0_noise02_041.csv,loss0_noise02\sequences\loss0_noise02_041.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_042,loss0_noise02\sequences\loss0_noise02_042.csv,loss0_noise02\sequences\loss0_noise02_042.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_043,loss0_noise02\sequences\loss0_noise02_043.csv,loss0_noise02\sequences\loss0_noise02_043.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_044,loss0_noise02\sequences\loss0_noise02_044.csv,loss0_noise02\sequences\loss0_noise02_044.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_045,loss0_noise02\sequences\loss0_noise02_045.csv,loss0_noise02\sequences\loss0_noise02_045.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_046,loss0_noise02\sequences\loss0_noise02_046.csv,loss0_noise02\sequences\loss0_noise02_046.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_047,loss0_noise02\sequences\loss0_noise02_047.csv,loss0_noise02\sequences\loss0_noise02_047.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
loss0_noise02_048,loss0_noise02\sequences\loss0_noise02_048.csv,loss0_noise02\sequences\loss0_noise02_048.json,0.0,0.2,"1,2,3,4,5,6,7","1,2,3,4,5,6,7"
