sequence_name,path,metadata_path,pulse_loss_rate,noise_ratio,known_tags,class_tags
loss0_noise05_000,loss0_noise05\sequences\loss0_noise05_000.csv,loss0_noise05\sequences\loss0_noise05_000.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_001,loss0_noise05\sequences\loss0_noise05_001.csv,loss0_noise05\sequences\loss0_noise05_001.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_002,loss0_noise05\sequences\loss0_noise05_002.csv,loss0_noise05\sequences\loss0_noise05_002.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_003,loss0_noise05\sequences\loss0_noise05_003.csv,loss0_noise05\sequences\loss0_noise05_003.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_004,loss0_noise05\sequences\loss0_noise05_004.csv,loss0_noise05\sequences\loss0_noise05_004.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_005,loss0_noise05\sequences\loss0_noise05_005.csv,loss0_noise05\sequences\loss0_noise05_005.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_006,loss0_noise05\sequences\loss0_noise05_006.csv,loss0_noise05\sequences\loss0_noise05_006.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_007,loss0_noise05\sequences\loss0_noise05_007.csv,loss0_noise05\sequences\loss0_noise05_007.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_008,loss0_noise05\sequences\loss0_noise05_008.csv,loss0_noise05\sequences\loss0_noise05_008.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_009,loss0_noise05\sequences\loss0_noise05_009.csv,loss0_noise05\sequences\loss0_noise05_009.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_010,loss0_noise05\sequences\loss0_noise05_010.csv,loss0_noise05\sequences\loss0_noise05_010.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_011,loss0_noise05\sequences\loss0_noise05_011.csv,loss0_noise05\sequences\loss0_noise05_011.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_012,loss0_noise05\sequences\loss0_noise05_012.csv,loss0_noise05\sequences\loss0_noise05_012.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_013,loss0_noise05\sequences\loss0_noise05_013.csv,loss0_noise05\sequences\loss0_noise05_013.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_014,loss0_noise05\sequences\loss0_noise05_014.csv,loss0_noise05\sequences\loss0_noise05_014.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_015,loss0_noise05\sequences\loss0_noise05_015.csv,loss0_noise05\sequences\loss0_noise05_015.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_016,loss0_noise05\sequences\loss0_noise05_016.csv,loss0_noise05\sequences\loss0_noise05_016.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_017,loss0_noise05\sequences\loss0_noise05_017.csv,loss0_noise05\sequences\loss0_noise05_017.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_018,loss0_noise05\sequences\loss0_noise05_018.csv,loss0_noise05\sequences\loss0_noise05_018.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_019,loss0_noise05\sequences\loss0_noise05_019.csv,loss0_noise05\sequences\loss0_noise05_019.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_020,loss0_noise05\sequences\loss0_noise05_020.csv,loss0_noise05\sequences\loss0_noise05_020.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_021,loss0_noise05\sequences\loss0_noise05_021.csv,loss0_noise05\sequences\loss0_noise05_021.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_022,loss0_noise05\sequences\loss0_noise05_022.csv,loss0_noise05\sequences\loss0_noise05_022.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_023,loss0_noise05\sequences\loss0_noise05_023.csv,loss0_noise05\sequences\loss0_noise05_023.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_024,loss0_noise05\sequences\loss0_noise05_024.csv,loss0_noise05\sequences\loss0_noise05_024.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_025,loss0_noise05\sequences\loss0_noise05_025.csv,loss0_noise05\sequences\loss0_noise05_025.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_026,loss0_noise05\sequences\loss0_noise05_026.csv,loss0_noise05\sequences\loss0_noise05_026.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_027,loss0_noise05\sequences\loss0_noise05_027.csv,loss0_noise05\sequences\loss0_noise05_027.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_028,loss0_noise05\sequences\loss0_noise05_028.csv,loss0_noise05\sequences\loss0_noise05_028.json,0.0,0.5,"1,2,3,4","1,2,3,4"
loss0_noise05_029,loss0_noise05\sequences\loss0_noise05_029.csv,loss0_noise05\sequences\loss0_noise05_029.json,0.0,0.5,"1,2,3,4","1,2,3,4"
